 (Half Day),"﻿"" (نیم روز)"""
% of materials billed against this Purchase Order.,"﻿""درصد مواد برابر سفارش خرید این صورتحساب."""
% of materials billed against this Sales Order,"﻿""درصد مواد برابر سفارش فروش این صورتحساب"""
% of materials delivered against this Delivery Note,"﻿""درصد مواد برابر این یادداشت تحویل تحویل داده می شود"""
% of materials delivered against this Sales Order,"﻿""تحویل درصد مواد برابر این سفارش فروش"""
% of materials ordered against this Material Request,"﻿""درصد مواد دستور داد در برابر این درخواست مواد"""
% of materials received against this Purchase Order,"﻿""درصد مواد دریافت شده در برابر این سفارش خرید"""
"' can not be managed using Stock Reconciliation.\					You can add/delete Serial No directly, \					to modify stock of this item.","﻿""' نه سهام آشتی استفاده می توان مدیریت \\ شما اضافه کردن\/شماره سریال به طور مستقیم، حذف می توانید \\ سهام این آیتم را تغییر دهید."""
' in Company: ,"﻿""' در شرکت: """
'To Case No.' cannot be less than 'From Case No.',"﻿""به مورد شماره' نمی تواند کمتر از 'از مورد شماره'"""
* Will be calculated in the transaction.,"﻿""* در معامله محاسبه خواهد شد."""
"**Budget Distribution** helps you distribute your budget across months if you have seasonality in your business.To distribute a budget using this distribution, set this **Budget Distribution** in the **Cost Center**","﻿""** توزیع بودجه ** شما توزیع بودجه خود را در سراسر ماه اگر شما فصلی در کسب و کار شما کمک می کند.توزیع بودجه این توزیع با استفاده از این تنظیم ** توزیع های بودجه ** در ** ** مرکز هزینه"""
**Currency** Master,"﻿""** ارز ** استاد"""
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,"﻿""** سال مالی ** نشان دهنده سال مالی. تمام نوشته های حسابداری و دیگر معاملات عمده برابر ردیابی ** ** سال مالی."""
. Outstanding cannot be less than zero. \			 	Please match exact outstanding.,"﻿"". برجسته باشد صفر کمتر نمی باشد. \\ لطفا بازی فوق العاده دقیق."""
. Please set status of the employee as 'Left',"﻿"". لطفا تنظیم وضعیت کارمند به عنوان \""چپ\"""""
. You can not mark his attendance as 'Present',"﻿"". شما می توانید حضور خود را به عنوان \""حال حاضر\"" را علامت"""
"000 is black, fff is white","﻿""000 سیاه و سفید، fff سفید است"""
1 Currency = [?] FractionFor e.g. 1 USD = 100 Cent,"﻿""1 ارز = [؟] FractionFor عنوان مثال 1 دلار آمریکا = 100 درصد"""
1. To maintain the customer wise item code and to make them searchable based on their code use this option,"﻿""1. برای حفظ مشتری کد کالا عاقلانه و آنها را قابل جستجو استفاده از کد خود را بر اساس این گزینه"""
12px,"﻿""12px"""
13px,"﻿""13px"""
14px,"﻿""14px"""
15px,"﻿""15 پیکسل"""
16px,"﻿""16px"""
2 days ago,"﻿""2 روز پیش"""
: Duplicate row from same ,"﻿"": ردیف تکثیر از همان """
: It is linked to other active BOM(s),"﻿"": آن را به BOM(s) فعال دیگر مرتبط"""
: Mandatory for a Recurring Invoice.,"﻿"": اجباری برای فاکتور تکراری."""
"<a href=""#!Sales Browser/Customer Group"">To manage Customer Groups, click here</a>","﻿""<a href=\""#!Sales Browser\/Customer Group\""> برای مدیریت گروه های مشتریان اینجا را کلیک کنید.<\/a>"""
"<a href=""#!Sales Browser/Item Group"">Manage Item Groups</a>","﻿""<a href=\""#!Sales Browser\/Item Group\""> مدیریت گروه مورد<\/a>"""
"<a href=""#!Sales Browser/Territory"">To manage Territory, click here</a>","﻿""<a href=\""#!Sales Browser\/Territory\""> برای مدیریت خاک، اینجا را کلیک کنید.<\/a>"""
"<a href=""#Sales Browser/Customer Group"">Manage Customer Groups</a>","﻿""<a href=\""#Sales Browser\/Customer Group\""> مدیریت گروه مشتری<\/a>"""
"<a href=""#Sales Browser/Customer Group"">To manage Territory, click here</a>","﻿""<a href=\""#Sales Browser\/Customer Group\""> برای مدیریت خاک، اینجا را کلیک کنید.<\/a>"""
"<a href=""#Sales Browser/Item Group"">Manage Item Groups</a>","﻿""<a href=\""#Sales Browser\/Item Group\""> مدیریت گروه مورد<\/a>"""
"<a href=""#Sales Browser/Territory"">Territory</a>","﻿""<a href=\""#Sales Browser\/Territory\""> خاک<\/a>"""
"<a href=""#Sales Browser/Territory"">To manage Territory, click here</a>","﻿""<a href=\""#Sales Browser\/Territory\""> برای مدیریت خاک، اینجا را کلیک کنید.<\/a>"""
"<a onclick=""msgprint('<ol>\<li><b>field:[fieldname]</b> - By Field\<li><b>naming_series:</b> - By Naming Series (field called naming_series must be present\<li><b>eval:[expression]</b> - Evaluate an expression in python (self is doc)\<li><b>Prompt</b> - Prompt user for a name\<li><b>[series]</b> - Series by prefix (separated by a dot); for example PRE.#####\</ol>')"">Naming Options</a>","﻿""< onclick = \""msgprint ('<ol>\\ <li><b>میدان: [آفست]<\/b> - Field\\ <li><b>naming_series:<\/b> - Naming سری (فیلد نام naming_series باید present\\ <li><b>eval: [بیان]<\/b>-ارزیابی بیان در پایتون (فیلم کارگردان تهیه کننده است) \\ <li><b>فرمان<\/b> - فرمان کاربر برای name\\ <li><b>[سری]<\/b> - سری توسط پیشوند (جدا شده با دات)؛ برای مثال قبل. ### \\<\/ol>')\"" > نامگذاری گزینه های<\/a>"""
<b>Cancel</b> allows you change Submitted documents by cancelling them and amending them.,"﻿""<b>لغو<\/b> اجازه می دهد شما Submitted اسناد با آنها لغو و اصلاح آنها را تغییر دهید."""
"<span class=""sys_manager"">To setup, please go to Setup > Naming Series</span>","﻿""<span class=\""sys_manager\""> به راه اندازی، لطفا برو به تنظیمات > نامگذاری سری<\/span>"""
A Customer exists with same name,"﻿""مشتری را با همین نام وجود دارد"""
A Lead with this email id should exist,"﻿""سرب با این شناسه ایمیل باید وجود داشته باشد"""
"A Product or a Service that is bought, sold or kept in stock.","﻿""یک محصول و یا خدمات است که خرید، فروش یا نگهداری در انبار."""
A Supplier exists with same name,"﻿""تامین کننده را با همین نام وجود دارد"""
A condition for a Shipping Rule,"﻿""یک شرط برای قانون حمل و نقل"""
A logical Warehouse against which stock entries are made.,"﻿""انبار منطقی که در برابر نوشته های سهام ساخته شده است."""
A new popup will open that will ask you to select further conditions.,"﻿""یک پنجره جدید باز خواهد شد که که شما به بیشتر شرایط را انتخاب کنید."""
A symbol for this currency. For e.g. $,"﻿""یک نماد برای این ارز است. برای مثال $"""
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"﻿""شخص ثالث توزیع کننده \/ فروشنده \/ نماینده کمیسیون \/ سهامداران \/ نمایندگی است که شرکت ها به فروش می رساند محصولات برای کمیسیون."""
A user can have multiple values for a property.,"﻿""یک کاربر می تواند چندین مقدار براي ويژگي."""
A+,"﻿""+"""
A-,"﻿""A-"""
AB+,"﻿""AB +"""
AB-,"﻿""آب"""
AMC Expiry Date,"﻿""تاریخ انقضاء AMC"""
ATT,"﻿""ATT"""
Abbr,"﻿""Abbr"""
About,"﻿""درباره"""
About Us Settings,"﻿""درباره تنظیمات"""
About Us Team Member,"﻿""درباره ما عضو تیم"""
Above Value,"﻿""بالاتر از ارزش"""
Absent,"﻿""وجود ندارد"""
Acceptance Criteria,"﻿""معیارهای پذیرش"""
Accepted,"﻿""پذیرفته شده"""
Accepted Quantity,"﻿""مقدار قابل قبول"""
Accepted Warehouse,"﻿""انبار پذیرفته شده"""
Account,"﻿""حساب"""
Account Balance,"﻿""مانده حساب"""
Account Details,"﻿""جزئیات حساب"""
Account Head,"﻿""حساب سر"""
Account Id,"﻿""شناسه حساب"""
Account Name,"﻿""نام حساب"""
Account Type,"﻿""نوع حساب"""
Account for the warehouse (Perpetual Inventory) will be created under this Account.,"﻿""حساب برای انبار (موجودی دائمی) تحت این حساب ایجاد خواهد شد."""
Account for this ,"﻿""اشتراک برای این """
Accounting,"﻿""حسابداری"""
Accounting Year.,"﻿""حسابداری سال."""
"Accounting entry frozen up to this date, nobody can do / modify entry except role specified below.","﻿""حسابداری ورودی یخ زده در این تاریخ، هیچ کس می تواند انجام \/ ورود به جز نقش تعیین شده در زیر را تغییر دهید."""
Accounting journal entries.,"﻿""ورودیهای روزنگار حسابداری."""
Accounts,"﻿""حساب"""
Accounts Frozen Upto,"﻿""حساب های منجمد تا حد"""
Accounts Payable,"﻿""حسابهای پرداختنی"""
Accounts Receivable,"﻿""حساب دریافتنی"""
Accounts Settings,"﻿""تنظیمات حساب"""
Action,"﻿""عمل"""
Active,"﻿""فعال"""
Active: Will extract emails from ,"﻿""فعال: عصاره ایمیل از """
Activity,"﻿""فعالیت"""
Activity Log,"﻿""فعالیت های ورود به سیستم"""
Activity Type,"﻿""نوع فعالیت"""
Actual,"﻿""واقعی"""
Actual Budget,"﻿""واقعی بودجه"""
Actual Completion Date,"﻿""تاریخ اتمام واقعی"""
Actual Date,"﻿""تاریخ واقعی"""
Actual End Date,"﻿""تاریخ پایان واقعی"""
Actual Invoice Date,"﻿""تاریخ فاکتور واقعی"""
Actual Posting Date,"﻿""تاریخ واقعی ارسال"""
Actual Qty,"﻿""تعداد واقعی"""
Actual Qty (at source/target),"﻿""تعداد واقعی (در منبع مورد نظر)"""
Actual Qty After Transaction,"﻿""تعداد واقعی معامله پس از"""
Actual Quantity,"﻿""مقدار واقعی"""
Actual Start Date,"﻿""تاريخ شروع واقعی"""
Add,"﻿""اضافه کردن"""
Add / Edit Taxes and Charges,"﻿""اضافه کردن \/ ویرایش مالیات و هزینه"""
Add A New Rule,"﻿""اضافه کردن یک قانون جدید"""
Add A Property,"﻿""اضافه کردن ملک"""
Add Attachments,"﻿""پیوست کردن فایل"""
Add Bookmark,"﻿""افزودنیهای آموزشی"""
Add CSS,"﻿""اضافه کردن CSS"""
Add Column,"﻿""اضافه کردن ستون"""
Add Google Analytics ID: eg. UA-89XXX57-1. Please search help on Google Analytics for more information.,"﻿""اضافه کردن گوگل آنالیز شناسه: به عنوان مثال. UA-89XXX57-1. لطفا کمک در گوگل آنالیز برای اطلاعات بیشتر را جستجو کنید."""
Add Message,"﻿""اضافه کردن پیام"""
Add New Permission Rule,"﻿""قانون مجوز جدید اضافه کنید"""
Add Reply,"﻿""اضافه کردن پاسخ"""
Add Taxes and Charges,"﻿""مالیات و هزینه اضافه کنید"""
Add Terms and Conditions for the Material Request. You can also prepare a Terms and Conditions Master and use the Template,"﻿""ضوابط و شرایط برای درخواست مواد اضافه کنید. شما همچنین می توانید آماده شرایط و شرایط اصلی و استفاده از الگو"""
Add Terms and Conditions for the Purchase Receipt. You can also prepare a Terms and Conditions Master and use the Template.,"﻿""شرایط و ضوابط برای دریافت خرید اضافه کنید. شما همچنین می توانید آماده شرایط و شرایط اصلی و استفاده از قالب."""
"Add Terms and Conditions for the Quotation like Payment Terms, Validity of Offer etc. You can also prepare a Terms and Conditions Master and use the Template","﻿""شرایط و ضوابط برای نقل قول مانند شرایط پرداخت اعتبار ارائه غیره اضافه کنید. شما همچنین می توانید آماده شرایط و شرایط اصلی و استفاده از الگو"""
Add Total Row,"﻿""اضافه کردن ردیف مجموع"""
Add a banner to the site. (small banners are usually good),"﻿""یک بنر به سایت اضافه کنید. (بنر کوچک معمولا خوب است)"""
Add attachment,"﻿""افزودن پیوست"""
Add code as &lt;script&gt;,"﻿""اضافه کردن کد به عنوان &lt; اسکریپت &gt;"""
Add new row,"﻿""اضافه کردن سطر جدید"""
Add or Deduct,"﻿""اضافه یا کسر"""
Add rows to set annual budgets on Accounts.,"﻿""اضافه کردن ردیف بودجه سالانه در حساب تنظیم."""
"Add the name of <a href=""http://google.com/webfonts"" target=""_blank"">Google Web Font</a> e.g. ""Open Sans""","﻿""اضافه کردن نام <a href=\""http:\/\/google.com\/webfonts\"" target=\""_blank\""> فونت وب گوگل<\/a> مانند \""Sans باز\"""""
Add to To Do,"﻿""برای اضافه کردن به انجام"""
Add to To Do List of,"﻿""برای اضافه کردن به فهرست"""
Add/Remove Recipients,"﻿""اضافه کردن\/حذف گیرندگان"""
Additional Info,"﻿""اطلاعات اضافی"""
Address,"﻿""آدرس"""
Address & Contact,"﻿""آدرس & تماس با ما"""
Address & Contacts,"﻿""آدرس & تماس با ما"""
Address Desc,"﻿""آدرس نزولی"""
Address Details,"﻿""جزئیات آدرس"""
Address HTML,"﻿""آدرس HTML"""
Address Line 1,"﻿""خط 1 آدرس"""
Address Line 2,"﻿""خط آدرس 2"""
Address Title,"﻿""عنوان آدرس"""
Address Type,"﻿""نوع آدرس"""
Address and other legal information you may want to put in the footer.,"﻿""آدرس و سایر اطلاعات حقوقی شما ممکن است بخواهید برای قرار دادن در پاورقی."""
Address to be displayed on the Contact Page,"﻿""آدرس را در صفحه تماس با ما نمایش داده شود"""
Adds a custom field to a DocType,"﻿""اضافه کردن یک فیلد های سفارشی به DocType"""
Adds a custom script (client or server) to a DocType,"﻿""می افزاید: یک اسکریپت سفارشی (سرویس گیرنده یا سرویس دهنده) به DocType"""
Advance Amount,"﻿""میزان پیشرفت"""
Advance amount,"﻿""میزان پیشرفت"""
Advanced Settings,"﻿""تنظیمات پیشرفته"""
Advances,"﻿""پیشرفت"""
Advertisement,"﻿""تبلیغات"""
After Sale Installations,"﻿""پس از فروش تاسیسات"""
Against,"﻿""برابر"""
Against Account,"﻿""برابر حساب"""
Against Docname,"﻿""در برابر Docname"""
Against Doctype,"﻿""برابر Doctype"""
Against Document Date,"﻿""برابر سند تاریخ"""
Against Document Detail No,"﻿""برابر سند بدون جزئیات"""
Against Document No,"﻿""علیه بدون سند"""
Against Expense Account,"﻿""برابر هزینه اشتراک"""
Against Income Account,"﻿""برابر حساب درآمد"""
Against Journal Voucher,"﻿""برابر مجله کوپن"""
Against Purchase Invoice,"﻿""برابر فاکتور خرید"""
Against Sales Invoice,"﻿""برابر فاکتور فروش"""
Against Voucher,"﻿""برابر کوپن"""
Against Voucher Type,"﻿""برابر نوع کوپن"""
Agent,"﻿""عامل"""
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. The package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".For Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Sales BOM Item.Note: BOM = Bill of Materials","﻿""گروه دانه ** ** موارد به دیگری ** مورد **. این مفید است اگر شما برخی از بسته بندی شده است ** موارد ** به یک بسته و شما حفظ سهام بسته بندی شده ** موارد ** و نه کل ** مورد **. بسته ** مورد ** داشته \""سهام آیتم به عنوان\""خیر\""است\"" و \""مورد فروش\"" به عنوان \""بله\"".به عنوان مثال: اگر شما کوله پشتی و لپ تاپ فروش به صورت جداگانه هستند و اگر مشتری خرید هر دو یک قیمت خاص، سپس لپ تاپ + کوله پشتی جدید فروش Item.Note BOM خواهد: BOM = بیل مواد"""
Aging Date,"﻿""تاریخ پیری"""
All Addresses.,"﻿""تمام آدرس ها."""
All Contact,"﻿""تماس با تمام"""
All Contacts.,"﻿""همه مخاطبین."""
All Customer Contact,"﻿""تمام ارتباط با مشتری"""
All Day,"﻿""همه روز"""
All Employee (Active),"﻿""همه کارمند (فعال)"""
All Lead (Open),"﻿""همه (باز) سرب"""
All Products or Services.,"﻿""تمام محصولات و یا خدمات."""
All Sales Partner Contact,"﻿""تماس با فروش شریک تمام"""
All Sales Person,"﻿""فرد همه فروش"""
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"﻿""تمام معاملات فروش می تواند علیه چند برچسب ** ** فروش افراد طوری که شما می توانید تنظیم و نظارت بر اهداف."""
All Supplier Contact,"﻿""تماس با فروشنده تمام"""
"All account columns should be after \							standard columns and on the right.							If you entered it properly, next probable reason \							could be wrong account name.							Please rectify it in the file and try again.","﻿""همه ستونها حساب می باید پس از \\ استاندارد ستون و در سمت راست.\u0009\u0009\u0009\u0009\u0009\u0009\u0009اگر شما آن را به درستی، وارد دليل احتمالی بعدی \\ نام حساب غلط می تواند.\u0009\u0009\u0009\u0009\u0009\u0009\u0009آن را در فایل تصحیح و دوباره سعی کنید."""
"All export related fields like currency, conversion rate, export total, export grand total etc are available in <br>Delivery Note, POS, Quotation, Sales Invoice, Sales Order etc.","﻿""همه زمینه های مرتبط مانند ارز، نرخ تبدیل صادرات, صادرات کل، صادرات و غیره کل بزرگ موجود در <br>تحویل توجه و اعتباری و نقل قول و فاکتور فروش، و غیره سفارش فروش."""
"All import related fields like currency, conversion rate, import total, import grand total etc are available in <br>Purchase Receipt, Supplier Quotation, Purchase Invoice, Purchase Order etc.","﻿""وارد کردن تمام زمینه های مرتبط مانند ارز، نرخ تبدیل، مجموع واردات، واردات و غیره کل بزرگ موجود در <br>خرید دریافت کننده نقل قول، فاکتور خرید، سفارش خرید و غیره."""
All items have already been transferred \				for this Production Order.,"﻿""همه موارد در حال حاضر منتقل شده \\ برای این سفارش تولید."""
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","﻿""همه ممکن است گردش کار ایالات نقش و گردش. <br>گزینه های Docstatus: 0 است \""ذخیره\""، 1 است \""مشاهده\"" و 2 است \""لغو\"""""
Allocate,"﻿""تخصیص"""
Allocate leaves for the year.,"﻿""برگ تخصیص برای سال."""
Allocated Amount,"﻿""مقدار اختصاص داده"""
Allocated Budget,"﻿""بودجه اختصاص داده"""
Allocated amount,"﻿""مقدار اختصاص داده"""
Allow Attach,"﻿""امکان پیوست"""
Allow Bill of Materials,"﻿""بیل از مواد مجاز"""
Allow Dropbox Access,"﻿""اجازه دسترسی Dropbox"""
Allow Google Drive Access,"﻿""اجازه دسترسی به درایو گوگل"""
Allow Import,"﻿""اجازه واردات"""
Allow Import via Data Import Tool,"﻿""اجازه می دهد تا واردات از طریق ابزار وارد کردن داده ها"""
Allow Negative Balance,"﻿""اجازه می دهد تعادل منفی"""
Allow Negative Stock,"﻿""اجازه می دهد منفی سهام"""
Allow Production Order,"﻿""امکان سفارش تولید"""
Allow Rename,"﻿""امکان تغییر نام"""
Allow User,"﻿""کاربر اجازه می دهد"""
Allow Users,"﻿""اجازه دادن به کاربران"""
Allow on Submit,"﻿""اجازه می دهد در ارسال"""
Allow the following users to approve Leave Applications for block days.,"﻿""کاربران زیر به تصویب ترک برنامه های کاربردی برای بلوک روز اجازه می دهد."""
Allow user to edit Price List Rate in transactions,"﻿""اجازه می دهد کاربر برای ویرایش لیست نرخ قیمت در معاملات"""
Allow user to login only after this hour (0-24),"﻿""کاربر ورود به سیستم اجازه می دهد تنها پس از این ساعت (0-24)"""
Allow user to login only before this hour (0-24),"﻿""کاربر ورود به سیستم اجازه می دهد فقط قبل از این ساعت (0-24)"""
Allowance Percent,"﻿""کمک هزینه درصد"""
Allowed,"﻿""مجاز"""
Allowed Role to Edit Entries Before Frozen Date,"﻿""مجاز نقش ویرایش نوشته های قبل از تاریخ منجمد"""
Already Registered,"﻿""در حال حاضر ثبت نام"""
Always use Login Id as sender,"﻿""همیشه استفاده از شناسه ورود به عنوان فرستنده"""
Amend,"﻿""اصلاح"""
Amended From,"﻿""از اصلاح"""
Amount,"﻿""مقدار"""
Amount (Company Currency),"﻿""مقدار (شرکت واحد)"""
Amount <=,"﻿""مقدار < ="""
Amount >=,"﻿""مقدار > ="""
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]","﻿""آیکون فایل با پسوند .ico. باید 16 x 16 پیکسل. تولید شده با استفاده از یک ژنراتور فاویکون. [<a href=\""http:\/\/favicon-generator.org\/\"" target=\""_blank\""> favicon generator.org<\/a>]"""
Analytics,"﻿""تجزیه و تحلیل"""
Another Period Closing Entry,"﻿""ورودی دوره بسته دیگری"""
Another Salary Structure '%s' is active for employee '%s'. 				Please make its status 'Inactive' to proceed.,"﻿""ساختار حقوق و دستمزد دیگر '%s' برای کارمند '%s' فعال است. \u0009\u0009\u0009\u0009لطفا وضعیت آن 'غیر فعال' به عنوان خوانده شده است."""
"Any other comments, noteworthy effort that should go in the records.","﻿""هر گونه نظرات دیگران، تلاش قابل توجه است که باید بروید در این سوابق."""
Applicable Holiday List,"﻿""لیست قابل تعطیلات"""
Applicable To (Designation),"﻿""قابل انطباق (تعیین)"""
Applicable To (Employee),"﻿""قابل انطباق (کارمند)"""
Applicable To (Role),"﻿""به (نقش)"""
Applicable To (User),"﻿""قابل انطباق (کاربر)"""
Applicant Name,"﻿""نام متقاضی"""
Applicant for a Job,"﻿""متقاضی کار"""
Applicant for a Job.,"﻿""متقاضی کار."""
Applications for leave.,"﻿""برنامه های کاربردی برای ترک."""
Applies to Company,"﻿""شرکت اعمال می کند"""
Apply / Approve Leaves,"﻿""درخواست \/ تایید برگ"""
Apply Shipping Rule,"﻿""اعمال قانون حمل و نقل"""
Apply Taxes and Charges Master,"﻿""اعمال مالیات و هزینه های کارشناسی ارشد"""
Appraisal,"﻿""ارزیابی"""
Appraisal Goal,"﻿""هدف ارزیابی"""
Appraisal Goals,"﻿""اهداف ارزیابی"""
Appraisal Template,"﻿""ارزیابی الگو"""
Appraisal Template Goal,"﻿""ارزیابی الگو هدف"""
Appraisal Template Title,"﻿""ارزیابی الگو عنوان"""
Approval Status,"﻿""وضعیت تاییدیه"""
Approved,"﻿""تایید"""
Approver,"﻿""Approver"""
Approving Role,"﻿""تصویب نقش"""
Approving User,"﻿""تصویب کاربر"""
Are you sure you want to delete the attachment?,"﻿""آیا مطمئنید که می خواهید پیوست را حذف کنید؟"""
Arial,"﻿""روکش دار"""
Arrear Amount,"﻿""مقدار Arrear"""
"As a best practice, do not assign the same set of permission rule to different Roles instead set multiple Roles to the User","﻿""به عنوان بهترین راهکار انجام همان قانون اجازه به نقش مختلف مجموعه اختصاص به جای نقش های متعدد به کاربر"""
As existing qty for item: ,"﻿""به عنوان قاب موجود پلاستیکی برای مورد """
As per Stock UOM,"﻿""هر سهام UOM"""
"As there are existing stock transactions for this \							item, you can not change the values of 'Has Serial No', \							'Is Stock Item' and 'Valuation Method'","﻿""به عنوان موجود معاملات سهام این \\ مورد، شما نمی تواند تغییر ارزش 'است سریال نه،' \\ 'است سهام مورد' و 'روش ارزیابی'"""
Ascending,"﻿""صعودی"""
Assign To,"﻿""اختصاص به"""
Assigned By,"﻿""اختصاص داده شده توسط"""
Assigned To,"﻿""اختصاص داده شده به"""
Assignment,"﻿""تخصیص"""
Assignments,"﻿""تکالیف"""
Associate a DocType to the Print Format,"﻿""دیپلم DocType به قالب چاپ"""
Atleast one warehouse is mandatory,"﻿""حداقل یک انبار الزامی است"""
Attach,"﻿""پیوست"""
Attach Document Print,"﻿""ضمیمه چاپ سند"""
Attached To DocType,"﻿""متصل به DocType"""
Attached To Name,"﻿""متصل به نام"""
Attachment,"﻿""پیوست"""
Attachments,"﻿""فایل پیوست"""
Attempted to Contact,"﻿""تلاش برای تماس با ما"""
Attendance,"﻿""حضور و غیاب"""
Attendance Date,"﻿""تاریخ حضور و غیاب"""
Attendance Details,"﻿""جزییات شرکت کننده"""
Attendance From Date,"﻿""حضور و غیاب از تاریخ"""
Attendance To Date,"﻿""حضور و غیاب به تاریخ"""
Attendance can not be marked for future dates,"﻿""حضور و غیاب می تواند مشخص شده باشد برای تاریخ آینده"""
Attendance for the employee: ,"﻿""حضور برای کارمند: """
Attendance record.,"﻿""ثبت حضور و غیاب."""
Attributions,"﻿""Attributions"""
Authorization Control,"﻿""مجوز کنترل"""
Authorization Rule,"﻿""قانون مجوز"""
Auto Accounting For Stock Settings,"﻿""حسابداری برای سهام تنظیمات خودکار"""
Auto Email Id,"﻿""خودکار ایمیل"""
Auto Material Request,"﻿""خودکار درخواست مواد"""
Auto Name,"﻿""نام خودرو"""
Auto generated,"﻿""خودکار تولید شده"""
Auto-raise Material Request if quantity goes below re-order level in a warehouse,"﻿""خودکار-درخواست مواد اگر مقدار زیر سطح مرتب سازی دوباره در انبار می رود افزایش"""
Automatically updated via Stock Entry of type Manufacture/Repack,"﻿""بروز رسانی خودکار از طریق ورود به بورس از نوع تولید\/Repack"""
Autoreply when a new mail is received,"﻿""جواب خودکار هنگامی که یک ایمیل جدید دریافت"""
Available,"﻿""در دسترس"""
